,Year,Type of Offence,UNIT,VALUE
3475,2014,False alarm/interference with aircraft or air transport facilities,Number,2.0
3476,2014,Endangering traffic offences,Number,42.0
3477,2014,Kidnapping and related offences,Number,29.0
3478,2014,False imprisonment,Number,16.0
3479,2014,Abduction of person under 16 years of age,Number,10.0
3480,2014,Human trafficking offences,Number,3.0
3481,2014,"Robbery, extortion and hijacking offences",Number,580.0
3482,2014,Robbery of an establishment or institution,Number,157.0
3483,2014,Robbery of cash or goods in transit,Number,9.0
3484,2014,Robbery from the person,Number,393.0
3485,2014,Blackmail or extortion,Number,3.0
3486,2014,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,18.0
3487,2014,Burglary and related offences,Number,6540.0
3488,2014,Aggravated burglary,Number,65.0
3489,2014,Burglary (not aggravated),Number,6317.0
3490,2014,"Possession of an article (with intent to burgle, steal, demand)",Number,158.0
3491,2014,Theft and related offences,Number,20144.0
3492,2014,Theft/taking of vehicle and related offences,Number,2019.0
3493,2014,Theft from person,Number,1209.0
3494,2014,Theft from shop,Number,5364.0
3495,2014,"Other thefts, handling stolen property",Number,11552.0
3496,2014,"Fraud, deception and related offences",Number,1250.0
3497,2014,Controlled drug offences,Number,4476.0
3498,2014,Importation of drugs,Number,5.0
3499,2014,Cultivation or manufacture of drugs,Number,101.0
3500,2014,Possession of drugs for sale or supply,Number,888.0
3501,2014,Possession of drugs for personal use,Number,3309.0
3502,2014,Other drug offences,Number,173.0
3503,2014,Weapons and Explosives Offences,Number,684.0
3504,2014,"Explosives, chemical weapons offences",Number,15.0
3505,2014,Discharging a firearm,Number,37.0
3506,2014,Possession of a firearm,Number,62.0
3507,2014,Offensive weapons offences (n.e.c.),Number,557.0
3508,2014,Fireworks offences,Number,13.0
3509,2014,Damage to property and to the environment,Number,6593.0
3510,2014,Arson,Number,478.0
3511,2014,Criminal damage (not arson),Number,6061.0
3512,2014,Litter offences,Number,54.0
3513,2014,Public order and other social code offences,Number,8744.0
3514,2014,Disorderly conduct,Number,7109.0
3515,2014,Trespass offences,Number,772.0
3516,2014,Liquor licensing offences,Number,341.0
3517,2014,Prostitution offences,Number,42.0
3518,2014,"Regulated betting/money, collection/trading offences",Number,71.0
3519,2014,Social code offences (n.e.c.),Number,409.0
3520,2014,"Offences against government, justice procedures and organisation of crime",Number,2429.0
3521,2014,Offences against government and its agents,Number,60.0
3522,2014,Organisation of crime and conspiracy to commit crime,Number,1.0
3523,2014,Perverting the course of justice,Number,9.0
3524,2014,"Offences while in custody, breach of court orders",Number,2359.0
3525,2014,Homicide offences,Number,25.0
3526,2014,Murder,Number,8.0
3527,2014,Manslaughter,Number,1.0
3528,2014,Infanticide,Number,0.0
3529,2014,Dangerous driving leading to death,Number,16.0
3530,2014,Sexual offences,Number,501.0
3531,2014,Rape of a male or female,Number,118.0
3532,2014,Defilement of a boy or girl less than 17 years old,Number,23.0
3533,2014,Sexual offence involving mentally impaired person,Number,5.0
3534,2014,Aggravated sexual assault,Number,1.0
3535,2014,Sexual assault (not aggravated),Number,333.0
3536,2014,Other sexual offences,Number,21.0
3537,2014,"Attempts/threats to murder, assaults, harassments and related offences",Number,4094.0
3538,2014,Murder-attempt,Number,3.0
3539,2014,Threat to kill or cause serious harm,Number,144.0
3540,2014,Harassment and related offences,Number,400.0
3541,2014,"Assault causing harm, poisoning",Number,840.0
3542,2014,Other assault,Number,2707.0
3543,2014,Dangerous or negligent acts,Number,1748.0
3544,2014,Dangerous driving causing serious bodily harm,Number,2.0
3545,2014,Driving/in charge of a vehicle while over legal alcohol limit,Number,1572.0
3546,2014,Driving/in charge of a vehicle under the influence of drugs,Number,70.0
3547,2014,Endangerment with potential for serious harm/death,Number,23.0
3548,2014,"Abandoning a child, child neglect and cruelty",Number,46.0
3549,2014,Unseaworthy/dangerous use of boat or ship,Number,0.0
3550,2014,False alarm/interference with aircraft or air transport facilities,Number,0.0
3551,2014,Endangering traffic offences,Number,35.0
3552,2014,Kidnapping and related offences,Number,28.0
3553,2014,False imprisonment,Number,16.0
3554,2014,Abduction of person under 16 years of age,Number,6.0
3555,2014,Human trafficking offences,Number,6.0
3556,2014,"Robbery, extortion and hijacking offences",Number,651.0
3557,2014,Robbery of an establishment or institution,Number,229.0
3558,2014,Robbery of cash or goods in transit,Number,5.0
3559,2014,Robbery from the person,Number,384.0
3560,2014,Blackmail or extortion,Number,4.0
3561,2014,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,29.0
3562,2014,Burglary and related offences,Number,8282.0
3563,2014,Aggravated burglary,Number,100.0
3564,2014,Burglary (not aggravated),Number,8013.0
3565,2014,"Possession of an article (with intent to burgle, steal, demand)",Number,169.0
3566,2014,Theft and related offences,Number,20155.0
3567,2014,Theft/taking of vehicle and related offences,Number,1861.0
3568,2014,Theft from person,Number,1387.0
3569,2014,Theft from shop,Number,5725.0
3570,2014,"Other thefts, handling stolen property",Number,11182.0
3571,2014,"Fraud, deception and related offences",Number,1280.0
3572,2014,Controlled drug offences,Number,3521.0
3573,2014,Importation of drugs,Number,4.0
3574,2014,Cultivation or manufacture of drugs,Number,81.0
3575,2014,Possession of drugs for sale or supply,Number,853.0
3576,2014,Possession of drugs for personal use,Number,2447.0
3577,2014,Other drug offences,Number,136.0
3578,2014,Weapons and Explosives Offences,Number,647.0
3579,2014,"Explosives, chemical weapons offences",Number,13.0
3580,2014,Discharging a firearm,Number,36.0
3581,2014,Possession of a firearm,Number,43.0
3582,2014,Offensive weapons offences (n.e.c.),Number,459.0
3583,2014,Fireworks offences,Number,96.0
3584,2014,Damage to property and to the environment,Number,7179.0
3585,2014,Arson,Number,413.0
3586,2014,Criminal damage (not arson),Number,6701.0
3587,2014,Litter offences,Number,65.0
3588,2014,Public order and other social code offences,Number,8078.0
3589,2014,Disorderly conduct,Number,6447.0
3590,2014,Trespass offences,Number,681.0
3591,2014,Liquor licensing offences,Number,332.0
3592,2014,Prostitution offences,Number,24.0
3593,2014,"Regulated betting/money, collection/trading offences",Number,77.0
3594,2014,Social code offences (n.e.c.),Number,517.0
3595,2014,"Offences against government, justice procedures and organisation of crime",Number,2449.0
3596,2014,Offences against government and its agents,Number,97.0
3597,2014,Organisation of crime and conspiracy to commit crime,Number,0.0
3598,2014,Perverting the course of justice,Number,13.0
3599,2014,"Offences while in custody, breach of court orders",Number,2339.0
3600,2015,Homicide offences,Number,19.0
3601,2015,Murder,Number,6.0
3602,2015,Manslaughter,Number,0.0
3603,2015,Infanticide,Number,0.0
3604,2015,Dangerous driving leading to death,Number,13.0
3605,2015,Sexual offences,Number,626.0
3606,2015,Rape of a male or female,Number,136.0
3607,2015,Defilement of a boy or girl less than 17 years old,Number,42.0
3608,2015,Sexual offence involving mentally impaired person,Number,8.0
3609,2015,Aggravated sexual assault,Number,4.0
3610,2015,Sexual assault (not aggravated),Number,401.0
3611,2015,Other sexual offences,Number,35.0
3612,2015,"Attempts/threats to murder, assaults, harassments and related offences",Number,3959.0
3613,2015,Murder-attempt,Number,7.0
3614,2015,Threat to kill or cause serious harm,Number,150.0
3615,2015,Harassment and related offences,Number,471.0
3616,2015,"Assault causing harm, poisoning",Number,800.0
3617,2015,Other assault,Number,2531.0
3618,2015,Dangerous or negligent acts,Number,1704.0
3619,2015,Dangerous driving causing serious bodily harm,Number,4.0
3620,2015,Driving/in charge of a vehicle while over legal alcohol limit,Number,1519.0
3621,2015,Driving/in charge of a vehicle under the influence of drugs,Number,64.0
3622,2015,Endangerment with potential for serious harm/death,Number,25.0
3623,2015,"Abandoning a child, child neglect and cruelty",Number,61.0
3624,2015,Unseaworthy/dangerous use of boat or ship,Number,0.0
3625,2015,False alarm/interference with aircraft or air transport facilities,Number,1.0
3626,2015,Endangering traffic offences,Number,30.0
3627,2015,Kidnapping and related offences,Number,41.0
3628,2015,False imprisonment,Number,23.0
3629,2015,Abduction of person under 16 years of age,Number,8.0
3630,2015,Human trafficking offences,Number,10.0
3631,2015,"Robbery, extortion and hijacking offences",Number,714.0
3632,2015,Robbery of an establishment or institution,Number,285.0
3633,2015,Robbery of cash or goods in transit,Number,10.0
3634,2015,Robbery from the person,Number,373.0
3635,2015,Blackmail or extortion,Number,11.0
3636,2015,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,35.0
3637,2015,Burglary and related offences,Number,7897.0
3638,2015,Aggravated burglary,Number,98.0
3639,2015,Burglary (not aggravated),Number,7650.0
3640,2015,"Possession of an article (with intent to burgle, steal, demand)",Number,149.0
3641,2015,Theft and related offences,Number,18911.0
3642,2015,Theft/taking of vehicle and related offences,Number,1793.0
3643,2015,Theft from person,Number,1212.0
3644,2015,Theft from shop,Number,5530.0
3645,2015,"Other thefts, handling stolen property",Number,10376.0
3646,2015,"Fraud, deception and related offences",Number,1623.0
3647,2015,Controlled drug offences,Number,3290.0
3648,2015,Importation of drugs,Number,7.0
3649,2015,Cultivation or manufacture of drugs,Number,49.0
3650,2015,Possession of drugs for sale or supply,Number,762.0
3651,2015,Possession of drugs for personal use,Number,2376.0
3652,2015,Other drug offences,Number,96.0
3653,2015,Weapons and Explosives Offences,Number,575.0
3654,2015,"Explosives, chemical weapons offences",Number,9.0
3655,2015,Discharging a firearm,Number,39.0
3656,2015,Possession of a firearm,Number,54.0
3657,2015,Offensive weapons offences (n.e.c.),Number,469.0
3658,2015,Fireworks offences,Number,4.0
3659,2015,Damage to property and to the environment,Number,6661.0
3660,2015,Arson,Number,401.0
3661,2015,Criminal damage (not arson),Number,6184.0
3662,2015,Litter offences,Number,76.0
3663,2015,Public order and other social code offences,Number,7601.0
3664,2015,Disorderly conduct,Number,6076.0
3665,2015,Trespass offences,Number,663.0
3666,2015,Liquor licensing offences,Number,224.0
3667,2015,Prostitution offences,Number,10.0
3668,2015,"Regulated betting/money, collection/trading offences",Number,49.0
3669,2015,Social code offences (n.e.c.),Number,579.0
3670,2015,"Offences against government, justice procedures and organisation of crime",Number,2623.0
3671,2015,Offences against government and its agents,Number,68.0
3672,2015,Organisation of crime and conspiracy to commit crime,Number,4.0
3673,2015,Perverting the course of justice,Number,19.0
3674,2015,"Offences while in custody, breach of court orders",Number,2532.0
3675,2015,Homicide offences,Number,19.0
3676,2015,Murder,Number,10.0
3677,2015,Manslaughter,Number,3.0
3678,2015,Infanticide,Number,0.0
3679,2015,Dangerous driving leading to death,Number,6.0
3680,2015,Sexual offences,Number,561.0
3681,2015,Rape of a male or female,Number,125.0
3682,2015,Defilement of a boy or girl less than 17 years old,Number,33.0
3683,2015,Sexual offence involving mentally impaired person,Number,6.0
3684,2015,Aggravated sexual assault,Number,3.0
3685,2015,Sexual assault (not aggravated),Number,340.0
3686,2015,Other sexual offences,Number,54.0
3687,2015,"Attempts/threats to murder, assaults, harassments and related offences",Number,4148.0
3688,2015,Murder-attempt,Number,1.0
3689,2015,Threat to kill or cause serious harm,Number,142.0
3690,2015,Harassment and related offences,Number,337.0
3691,2015,"Assault causing harm, poisoning",Number,859.0
3692,2015,Other assault,Number,2809.0
3693,2015,Dangerous or negligent acts,Number,1786.0
3694,2015,Dangerous driving causing serious bodily harm,Number,5.0
3695,2015,Driving/in charge of a vehicle while over legal alcohol limit,Number,1600.0
3696,2015,Driving/in charge of a vehicle under the influence of drugs,Number,59.0
3697,2015,Endangerment with potential for serious harm/death,Number,31.0
3698,2015,"Abandoning a child, child neglect and cruelty",Number,33.0
3699,2015,Unseaworthy/dangerous use of boat or ship,Number,4.0
3700,2015,False alarm/interference with aircraft or air transport facilities,Number,0.0
3701,2015,Endangering traffic offences,Number,54.0
3702,2015,Kidnapping and related offences,Number,38.0
3703,2015,False imprisonment,Number,26.0
3704,2015,Abduction of person under 16 years of age,Number,8.0
3705,2015,Human trafficking offences,Number,4.0
3706,2015,"Robbery, extortion and hijacking offences",Number,629.0
3707,2015,Robbery of an establishment or institution,Number,205.0
3708,2015,Robbery of cash or goods in transit,Number,3.0
3709,2015,Robbery from the person,Number,370.0
3710,2015,Blackmail or extortion,Number,20.0
3711,2015,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,31.0
3712,2015,Burglary and related offences,Number,6201.0
3713,2015,Aggravated burglary,Number,53.0
3714,2015,Burglary (not aggravated),Number,6000.0
3715,2015,"Possession of an article (with intent to burgle, steal, demand)",Number,148.0
3716,2015,Theft and related offences,Number,19606.0
3717,2015,Theft/taking of vehicle and related offences,Number,1721.0
3718,2015,Theft from person,Number,1185.0
3719,2015,Theft from shop,Number,5849.0
3720,2015,"Other thefts, handling stolen property",Number,10851.0
3721,2015,"Fraud, deception and related offences",Number,1434.0
3722,2015,Controlled drug offences,Number,4164.0
3723,2015,Importation of drugs,Number,4.0
3724,2015,Cultivation or manufacture of drugs,Number,65.0
3725,2015,Possession of drugs for sale or supply,Number,951.0
3726,2015,Possession of drugs for personal use,Number,3001.0
3727,2015,Other drug offences,Number,143.0
3728,2015,Weapons and Explosives Offences,Number,591.0
3729,2015,"Explosives, chemical weapons offences",Number,5.0
3730,2015,Discharging a firearm,Number,34.0
3731,2015,Possession of a firearm,Number,59.0
3732,2015,Offensive weapons offences (n.e.c.),Number,490.0
3733,2015,Fireworks offences,Number,3.0
3734,2015,Damage to property and to the environment,Number,6581.0
3735,2015,Arson,Number,437.0
3736,2015,Criminal damage (not arson),Number,6098.0
3737,2015,Litter offences,Number,46.0
3738,2015,Public order and other social code offences,Number,8466.0
3739,2015,Disorderly conduct,Number,6445.0
3740,2015,Trespass offences,Number,762.0
3741,2015,Liquor licensing offences,Number,278.0
3742,2015,Prostitution offences,Number,19.0
3743,2015,"Regulated betting/money, collection/trading offences",Number,77.0
3744,2015,Social code offences (n.e.c.),Number,885.0
3745,2015,"Offences against government, justice procedures and organisation of crime",Number,2977.0
3746,2015,Offences against government and its agents,Number,87.0
3747,2015,Organisation of crime and conspiracy to commit crime,Number,1.0
3748,2015,Perverting the course of justice,Number,19.0
3749,2015,"Offences while in custody, breach of court orders",Number,2870.0
3750,2015,Homicide offences,Number,21.0
3751,2015,Murder,Number,4.0
3752,2015,Manslaughter,Number,4.0
3753,2015,Infanticide,Number,0.0
3754,2015,Dangerous driving leading to death,Number,13.0
3755,2015,Sexual offences,Number,556.0
3756,2015,Rape of a male or female,Number,128.0
3757,2015,Defilement of a boy or girl less than 17 years old,Number,34.0
3758,2015,Sexual offence involving mentally impaired person,Number,1.0
3759,2015,Aggravated sexual assault,Number,2.0
3760,2015,Sexual assault (not aggravated),Number,327.0
3761,2015,Other sexual offences,Number,64.0
3762,2015,"Attempts/threats to murder, assaults, harassments and related offences",Number,4432.0
3763,2015,Murder-attempt,Number,2.0
3764,2015,Threat to kill or cause serious harm,Number,147.0
3765,2015,Harassment and related offences,Number,352.0
3766,2015,"Assault causing harm, poisoning",Number,919.0
3767,2015,Other assault,Number,3012.0
3768,2015,Dangerous or negligent acts,Number,1799.0
3769,2015,Dangerous driving causing serious bodily harm,Number,2.0
3770,2015,Driving/in charge of a vehicle while over legal alcohol limit,Number,1630.0
3771,2015,Driving/in charge of a vehicle under the influence of drugs,Number,46.0
3772,2015,Endangerment with potential for serious harm/death,Number,25.0
3773,2015,"Abandoning a child, child neglect and cruelty",Number,41.0
3774,2015,Unseaworthy/dangerous use of boat or ship,Number,3.0
3775,2015,False alarm/interference with aircraft or air transport facilities,Number,0.0
3776,2015,Endangering traffic offences,Number,52.0
3777,2015,Kidnapping and related offences,Number,31.0
3778,2015,False imprisonment,Number,19.0
3779,2015,Abduction of person under 16 years of age,Number,6.0
3780,2015,Human trafficking offences,Number,6.0
3781,2015,"Robbery, extortion and hijacking offences",Number,553.0
3782,2015,Robbery of an establishment or institution,Number,174.0
3783,2015,Robbery of cash or goods in transit,Number,2.0
3784,2015,Robbery from the person,Number,350.0
3785,2015,Blackmail or extortion,Number,13.0
3786,2015,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,14.0
3787,2015,Burglary and related offences,Number,6100.0
3788,2015,Aggravated burglary,Number,56.0
3789,2015,Burglary (not aggravated),Number,5905.0
3790,2015,"Possession of an article (with intent to burgle, steal, demand)",Number,139.0
3791,2015,Theft and related offences,Number,18988.0
3792,2015,Theft/taking of vehicle and related offences,Number,1568.0
3793,2015,Theft from person,Number,1335.0
3794,2015,Theft from shop,Number,5544.0
3795,2015,"Other thefts, handling stolen property",Number,10541.0
3796,2015,"Fraud, deception and related offences",Number,1447.0
3797,2015,Controlled drug offences,Number,4103.0
3798,2015,Importation of drugs,Number,5.0
3799,2015,Cultivation or manufacture of drugs,Number,67.0
3800,2015,Possession of drugs for sale or supply,Number,845.0
3801,2015,Possession of drugs for personal use,Number,3049.0
3802,2015,Other drug offences,Number,137.0
3803,2015,Weapons and Explosives Offences,Number,586.0
3804,2015,"Explosives, chemical weapons offences",Number,5.0
3805,2015,Discharging a firearm,Number,36.0
3806,2015,Possession of a firearm,Number,45.0
3807,2015,Offensive weapons offences (n.e.c.),Number,485.0
3808,2015,Fireworks offences,Number,15.0
3809,2015,Damage to property and to the environment,Number,6393.0
3810,2015,Arson,Number,443.0
3811,2015,Criminal damage (not arson),Number,5916.0
3812,2015,Litter offences,Number,34.0
3813,2015,Public order and other social code offences,Number,8632.0
3814,2015,Disorderly conduct,Number,6673.0
3815,2015,Trespass offences,Number,709.0
3816,2015,Liquor licensing offences,Number,293.0
3817,2015,Prostitution offences,Number,18.0
3818,2015,"Regulated betting/money, collection/trading offences",Number,86.0
3819,2015,Social code offences (n.e.c.),Number,853.0
3820,2015,"Offences against government, justice procedures and organisation of crime",Number,2816.0
3821,2015,Offences against government and its agents,Number,67.0
3822,2015,Organisation of crime and conspiracy to commit crime,Number,1.0
3823,2015,Perverting the course of justice,Number,10.0
3824,2015,"Offences while in custody, breach of court orders",Number,2738.0
3825,2015,Homicide offences,Number,25.0
3826,2015,Murder,Number,7.0
3827,2015,Manslaughter,Number,3.0
3828,2015,Infanticide,Number,0.0
3829,2015,Dangerous driving leading to death,Number,15.0
3830,2015,Sexual offences,Number,549.0
3831,2015,Rape of a male or female,Number,130.0
3832,2015,Defilement of a boy or girl less than 17 years old,Number,21.0
3833,2015,Sexual offence involving mentally impaired person,Number,8.0
3834,2015,Aggravated sexual assault,Number,0.0
3835,2015,Sexual assault (not aggravated),Number,334.0
3836,2015,Other sexual offences,Number,56.0
3837,2015,"Attempts/threats to murder, assaults, harassments and related offences",Number,4377.0
3838,2015,Murder-attempt,Number,3.0
3839,2015,Threat to kill or cause serious harm,Number,150.0
3840,2015,Harassment and related offences,Number,354.0
3841,2015,"Assault causing harm, poisoning",Number,937.0
3842,2015,Other assault,Number,2933.0
3843,2015,Dangerous or negligent acts,Number,1828.0
3844,2015,Dangerous driving causing serious bodily harm,Number,1.0
3845,2015,Driving/in charge of a vehicle while over legal alcohol limit,Number,1666.0
3846,2015,Driving/in charge of a vehicle under the influence of drugs,Number,52.0
3847,2015,Endangerment with potential for serious harm/death,Number,16.0
3848,2015,"Abandoning a child, child neglect and cruelty",Number,33.0
3849,2015,Unseaworthy/dangerous use of boat or ship,Number,0.0
3850,2015,False alarm/interference with aircraft or air transport facilities,Number,1.0
3851,2015,Endangering traffic offences,Number,59.0
3852,2015,Kidnapping and related offences,Number,41.0
3853,2015,False imprisonment,Number,26.0
3854,2015,Abduction of person under 16 years of age,Number,7.0
3855,2015,Human trafficking offences,Number,8.0
3856,2015,"Robbery, extortion and hijacking offences",Number,678.0
3857,2015,Robbery of an establishment or institution,Number,264.0
3858,2015,Robbery of cash or goods in transit,Number,3.0
3859,2015,Robbery from the person,Number,384.0
3860,2015,Blackmail or extortion,Number,10.0
3861,2015,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,17.0
3862,2015,Burglary and related offences,Number,6123.0
3863,2015,Aggravated burglary,Number,61.0
3864,2015,Burglary (not aggravated),Number,5902.0
3865,2015,"Possession of an article (with intent to burgle, steal, demand)",Number,160.0
3866,2015,Theft and related offences,Number,18186.0
3867,2015,Theft/taking of vehicle and related offences,Number,1364.0
3868,2015,Theft from person,Number,1640.0
3869,2015,Theft from shop,Number,5731.0
3870,2015,"Other thefts, handling stolen property",Number,9451.0
3871,2015,"Fraud, deception and related offences",Number,1288.0
3872,2015,Controlled drug offences,Number,3490.0
3873,2015,Importation of drugs,Number,3.0
3874,2015,Cultivation or manufacture of drugs,Number,59.0
3875,2015,Possession of drugs for sale or supply,Number,807.0
3876,2015,Possession of drugs for personal use,Number,2503.0
3877,2015,Other drug offences,Number,118.0
3878,2015,Weapons and Explosives Offences,Number,623.0
3879,2015,"Explosives, chemical weapons offences",Number,10.0
3880,2015,Discharging a firearm,Number,42.0
3881,2015,Possession of a firearm,Number,49.0
3882,2015,Offensive weapons offences (n.e.c.),Number,449.0
3883,2015,Fireworks offences,Number,73.0
3884,2015,Damage to property and to the environment,Number,6308.0
3885,2015,Arson,Number,439.0
3886,2015,Criminal damage (not arson),Number,5842.0
3887,2015,Litter offences,Number,27.0
3888,2015,Public order and other social code offences,Number,8553.0
3889,2015,Disorderly conduct,Number,6293.0
3890,2015,Trespass offences,Number,609.0
3891,2015,Liquor licensing offences,Number,283.0
3892,2015,Prostitution offences,Number,10.0
3893,2015,"Regulated betting/money, collection/trading offences",Number,79.0
3894,2015,Social code offences (n.e.c.),Number,1279.0
3895,2015,"Offences against government, justice procedures and organisation of crime",Number,3054.0
3896,2015,Offences against government and its agents,Number,59.0
3897,2015,Organisation of crime and conspiracy to commit crime,Number,4.0
3898,2015,Perverting the course of justice,Number,11.0
3899,2015,"Offences while in custody, breach of court orders",Number,2980.0
3900,2016,Homicide offences,Number,20.0
3901,2016,Murder,Number,7.0
3902,2016,Manslaughter,Number,3.0
3903,2016,Infanticide,Number,0.0
3904,2016,Dangerous driving leading to death,Number,10.0
3905,2016,Sexual offences,Number,662.0
3906,2016,Rape of a male or female,Number,123.0
3907,2016,Defilement of a boy or girl less than 17 years old,Number,46.0
3908,2016,Sexual offence involving mentally impaired person,Number,6.0
3909,2016,Aggravated sexual assault,Number,3.0
3910,2016,Sexual assault (not aggravated),Number,406.0
3911,2016,Other sexual offences,Number,78.0
3912,2016,"Attempts/threats to murder, assaults, harassments and related offences",Number,4039.0
3913,2016,Murder-attempt,Number,3.0
3914,2016,Threat to kill or cause serious harm,Number,144.0
3915,2016,Harassment and related offences,Number,362.0
3916,2016,"Assault causing harm, poisoning",Number,859.0
3917,2016,Other assault,Number,2671.0
3918,2016,Dangerous or negligent acts,Number,1782.0
3919,2016,Dangerous driving causing serious bodily harm,Number,3.0
3920,2016,Driving/in charge of a vehicle while over legal alcohol limit,Number,1612.0
3921,2016,Driving/in charge of a vehicle under the influence of drugs,Number,50.0
3922,2016,Endangerment with potential for serious harm/death,Number,19.0
3923,2016,"Abandoning a child, child neglect and cruelty",Number,59.0
3924,2016,Unseaworthy/dangerous use of boat or ship,Number,0.0
3925,2016,False alarm/interference with aircraft or air transport facilities,Number,0.0
3926,2016,Endangering traffic offences,Number,39.0
3927,2016,Kidnapping and related offences,Number,35.0
3928,2016,False imprisonment,Number,19.0
3929,2016,Abduction of person under 16 years of age,Number,9.0
3930,2016,Human trafficking offences,Number,7.0
3931,2016,"Robbery, extortion and hijacking offences",Number,570.0
3932,2016,Robbery of an establishment or institution,Number,206.0
3933,2016,Robbery of cash or goods in transit,Number,7.0
3934,2016,Robbery from the person,Number,318.0
3935,2016,Blackmail or extortion,Number,16.0
3936,2016,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,23.0
3937,2016,Burglary and related offences,Number,5044.0
3938,2016,Aggravated burglary,Number,47.0
3939,2016,Burglary (not aggravated),Number,4872.0
3940,2016,"Possession of an article (with intent to burgle, steal, demand)",Number,125.0
3941,2016,Theft and related offences,Number,16292.0
3942,2016,Theft/taking of vehicle and related offences,Number,1341.0
3943,2016,Theft from person,Number,1321.0
3944,2016,Theft from shop,Number,5180.0
3945,2016,"Other thefts, handling stolen property",Number,8450.0
3946,2016,"Fraud, deception and related offences",Number,1299.0
3947,2016,Controlled drug offences,Number,3732.0
3948,2016,Importation of drugs,Number,8.0
3949,2016,Cultivation or manufacture of drugs,Number,49.0
3950,2016,Possession of drugs for sale or supply,Number,882.0
3951,2016,Possession of drugs for personal use,Number,2579.0
3952,2016,Other drug offences,Number,214.0
3953,2016,Weapons and Explosives Offences,Number,530.0
3954,2016,"Explosives, chemical weapons offences",Number,6.0
3955,2016,Discharging a firearm,Number,25.0
3956,2016,Possession of a firearm,Number,56.0
3957,2016,Offensive weapons offences (n.e.c.),Number,443.0
3958,2016,Fireworks offences,Number,0.0
3959,2016,Damage to property and to the environment,Number,5603.0
3960,2016,Arson,Number,338.0
3961,2016,Criminal damage (not arson),Number,5219.0
3962,2016,Litter offences,Number,46.0
3963,2016,Public order and other social code offences,Number,7147.0
3964,2016,Disorderly conduct,Number,5864.0
3965,2016,Trespass offences,Number,540.0
3966,2016,Liquor licensing offences,Number,254.0
3967,2016,Prostitution offences,Number,9.0
3968,2016,"Regulated betting/money, collection/trading offences",Number,38.0
3969,2016,Social code offences (n.e.c.),Number,442.0
3970,2016,"Offences against government, justice procedures and organisation of crime",Number,3202.0
3971,2016,Offences against government and its agents,Number,58.0
3972,2016,Organisation of crime and conspiracy to commit crime,Number,5.0
3973,2016,Perverting the course of justice,Number,7.0
3974,2016,"Offences while in custody, breach of court orders",Number,3132.0
3975,2016,Homicide offences,Number,21.0
3976,2016,Murder,Number,7.0
3977,2016,Manslaughter,Number,2.0
3978,2016,Infanticide,Number,0.0
3979,2016,Dangerous driving leading to death,Number,12.0
3980,2016,Sexual offences,Number,705.0
3981,2016,Rape of a male or female,Number,163.0
3982,2016,Defilement of a boy or girl less than 17 years old,Number,54.0
3983,2016,Sexual offence involving mentally impaired person,Number,5.0
3984,2016,Aggravated sexual assault,Number,1.0
3985,2016,Sexual assault (not aggravated),Number,400.0
3986,2016,Other sexual offences,Number,82.0
3987,2016,"Attempts/threats to murder, assaults, harassments and related offences",Number,4245.0
3988,2016,Murder-attempt,Number,10.0
3989,2016,Threat to kill or cause serious harm,Number,132.0
3990,2016,Harassment and related offences,Number,353.0
3991,2016,"Assault causing harm, poisoning",Number,918.0
3992,2016,Other assault,Number,2832.0
3993,2016,Dangerous or negligent acts,Number,1882.0
3994,2016,Dangerous driving causing serious bodily harm,Number,4.0
3995,2016,Driving/in charge of a vehicle while over legal alcohol limit,Number,1676.0
3996,2016,Driving/in charge of a vehicle under the influence of drugs,Number,61.0
3997,2016,Endangerment with potential for serious harm/death,Number,36.0
3998,2016,"Abandoning a child, child neglect and cruelty",Number,73.0
3999,2016,Unseaworthy/dangerous use of boat or ship,Number,1.0
4000,2016,False alarm/interference with aircraft or air transport facilities,Number,2.0
4001,2016,Endangering traffic offences,Number,29.0
4002,2016,Kidnapping and related offences,Number,34.0
4003,2016,False imprisonment,Number,19.0
4004,2016,Abduction of person under 16 years of age,Number,7.0
4005,2016,Human trafficking offences,Number,8.0
4006,2016,"Robbery, extortion and hijacking offences",Number,492.0
4007,2016,Robbery of an establishment or institution,Number,153.0
4008,2016,Robbery of cash or goods in transit,Number,8.0
4009,2016,Robbery from the person,Number,293.0
4010,2016,Blackmail or extortion,Number,16.0
4011,2016,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,22.0
4012,2016,Burglary and related offences,Number,4098.0
4013,2016,Aggravated burglary,Number,62.0
4014,2016,Burglary (not aggravated),Number,3920.0
4015,2016,"Possession of an article (with intent to burgle, steal, demand)",Number,116.0
4016,2016,Theft and related offences,Number,15507.0
4017,2016,Theft/taking of vehicle and related offences,Number,1107.0
4018,2016,Theft from person,Number,1059.0
4019,2016,Theft from shop,Number,5413.0
4020,2016,"Other thefts, handling stolen property",Number,7928.0
4021,2016,"Fraud, deception and related offences",Number,1156.0
