,Year,Type of Offence,UNIT,VALUE
194,2003,Theft from shop,Number,3925.0
195,2003,"Other thefts, handling stolen property",Number,10235.0
196,2003,"Fraud, deception and related offences",Number,948.0
197,2003,Controlled drug offences,Number,2613.0
198,2003,Importation of drugs,Number,6.0
199,2003,Cultivation or manufacture of drugs,Number,33.0
200,2003,Possession of drugs for sale or supply,Number,559.0
201,2003,Possession of drugs for personal use,Number,1910.0
202,2003,Other drug offences,Number,105.0
203,2003,Weapons and Explosives Offences,Number,479.0
204,2003,"Explosives, chemical weapons offences",Number,7.0
205,2003,Discharging a firearm,Number,56.0
206,2003,Possession of a firearm,Number,76.0
207,2003,Offensive weapons offences (n.e.c.),Number,340.0
208,2003,Fireworks offences,Number,0.0
209,2003,Damage to property and to the environment,Number,8089.0
210,2003,Arson,Number,350.0
211,2003,Criminal damage (not arson),Number,7718.0
212,2003,Litter offences,Number,21.0
213,2003,Public order and other social code offences,Number,11875.0
214,2003,Disorderly conduct,Number,10023.0
215,2003,Trespass offences,Number,403.0
216,2003,Liquor licensing offences,Number,960.0
217,2003,Prostitution offences,Number,64.0
218,2003,"Regulated betting/money, collection/trading offences",Number,81.0
219,2003,Social code offences (n.e.c.),Number,344.0
220,2003,"Offences against government, justice procedures and organisation of crime",Number,1719.0
221,2003,Offences against government and its agents,Number,44.0
222,2003,Organisation of crime and conspiracy to commit crime,Number,0.0
223,2003,Perverting the course of justice,Number,80.0
224,2003,"Offences while in custody, breach of court orders",Number,1595.0
225,2003,Homicide offences,Number,21.0
226,2003,Murder,Number,7.0
227,2003,Manslaughter,Number,2.0
228,2003,Infanticide,Number,0.0
229,2003,Dangerous driving leading to death,Number,12.0
230,2003,Sexual offences,Number,276.0
231,2003,Rape of a male or female,Number,70.0
232,2003,Defilement of a boy or girl less than 17 years old,Number,22.0
233,2003,Sexual offence involving mentally impaired person,Number,5.0
234,2003,Aggravated sexual assault,Number,3.0
235,2003,Sexual assault (not aggravated),Number,163.0
236,2003,Other sexual offences,Number,13.0
237,2003,"Attempts/threats to murder, assaults, harassments and related offences",Number,3073.0
238,2003,Murder-attempt,Number,1.0
239,2003,Threat to kill or cause serious harm,Number,4.0
240,2003,Harassment and related offences,Number,246.0
241,2003,"Assault causing harm, poisoning",Number,835.0
242,2003,Other assault,Number,1987.0
243,2003,Dangerous or negligent acts,Number,3207.0
