"STATISTIC Label","Quarter","Type of Offence","UNIT","VALUE"
"Recorded crime incidents (Under Reservation)","2011Q4","Unseaworthy/dangerous use of boat or ship","Number","0"
"Recorded crime incidents (Under Reservation)","2011Q4","False alarm/interference with aircraft or air transport facilities","Number","1"
"Recorded crime incidents (Under Reservation)","2011Q4","Endangering traffic offences","Number","56"
"Recorded crime incidents (Under Reservation)","2011Q4","Kidnapping and related offences","Number","32"
"Recorded crime incidents (Under Reservation)","2011Q4","False imprisonment","Number","21"
"Recorded crime incidents (Under Reservation)","2011Q4","Abduction of person under 16 years of age","Number","2"
"Recorded crime incidents (Under Reservation)","2011Q4","Human trafficking offences","Number","9"
"Recorded crime incidents (Under Reservation)","2011Q4","Robbery, extortion and hijacking offences","Number","768"
"Recorded crime incidents (Under Reservation)","2011Q4","Robbery of an establishment or institution","Number","304"
"Recorded crime incidents (Under Reservation)","2011Q4","Robbery of cash or goods in transit","Number","11"
"Recorded crime incidents (Under Reservation)","2011Q4","Robbery from the person","Number","421"
"Recorded crime incidents (Under Reservation)","2011Q4","Blackmail or extortion","Number","9"
"Recorded crime incidents (Under Reservation)","2011Q4","Carjacking, hijacking/unlawful seizure of aircraft/vessel","Number","23"
"Recorded crime incidents (Under Reservation)","2011Q4","Burglary and related offences","Number","8207"
"Recorded crime incidents (Under Reservation)","2011Q4","Aggravated burglary","Number","82"
"Recorded crime incidents (Under Reservation)","2011Q4","Burglary (not aggravated)","Number","7950"
"Recorded crime incidents (Under Reservation)","2011Q4","Possession of an article (with intent to burgle, steal, demand)","Number","175"
"Recorded crime incidents (Under Reservation)","2011Q4","Theft and related offences","Number","18569"
"Recorded crime incidents (Under Reservation)","2011Q4","Theft/taking of vehicle and related offences","Number","2290"
"Recorded crime incidents (Under Reservation)","2011Q4","Theft from person","Number","1053"
"Recorded crime incidents (Under Reservation)","2011Q4","Theft from shop","Number","5119"
"Recorded crime incidents (Under Reservation)","2011Q4","Other thefts, handling stolen property","Number","10107"
"Recorded crime incidents (Under Reservation)","2011Q4","Fraud, deception and related offences","Number","1326"
"Recorded crime incidents (Under Reservation)","2011Q4","Controlled drug offences","Number","3973"
"Recorded crime incidents (Under Reservation)","2011Q4","Importation of drugs","Number","9"
"Recorded crime incidents (Under Reservation)","2011Q4","Cultivation or manufacture of drugs","Number","137"
"Recorded crime incidents (Under Reservation)","2011Q4","Possession of drugs for sale or supply","Number","909"
"Recorded crime incidents (Under Reservation)","2011Q4","Possession of drugs for personal use","Number","2802"
"Recorded crime incidents (Under Reservation)","2011Q4","Other drug offences","Number","116"
"Recorded crime incidents (Under Reservation)","2011Q4","Weapons and Explosives Offences","Number","964"
"Recorded crime incidents (Under Reservation)","2011Q4","Explosives, chemical weapons offences","Number","19"
"Recorded crime incidents (Under Reservation)","2011Q4","Discharging a firearm","Number","35"
"Recorded crime incidents (Under Reservation)","2011Q4","Possession of a firearm","Number","65"
"Recorded crime incidents (Under Reservation)","2011Q4","Offensive weapons offences (n.e.c.)","Number","569"
"Recorded crime incidents (Under Reservation)","2011Q4","Fireworks offences","Number","276"
"Recorded crime incidents (Under Reservation)","2011Q4","Damage to property and to the environment","Number","8596"
"Recorded crime incidents (Under Reservation)","2011Q4","Arson","Number","591"
"Recorded crime incidents (Under Reservation)","2011Q4","Criminal damage (not arson)","Number","7960"
"Recorded crime incidents (Under Reservation)","2011Q4","Litter offences","Number","45"
"Recorded crime incidents (Under Reservation)","2011Q4","Public order and other social code offences","Number","11479"
"Recorded crime incidents (Under Reservation)","2011Q4","Disorderly conduct","Number","9804"
"Recorded crime incidents (Under Reservation)","2011Q4","Trespass offences","Number","739"
"Recorded crime incidents (Under Reservation)","2011Q4","Liquor licensing offences","Number","534"
"Recorded crime incidents (Under Reservation)","2011Q4","Prostitution offences","Number","59"
"Recorded crime incidents (Under Reservation)","2011Q4","Regulated betting/money, collection/trading offences","Number","84"
"Recorded crime incidents (Under Reservation)","2011Q4","Social code offences (n.e.c.)","Number","259"
"Recorded crime incidents (Under Reservation)","2011Q4","Offences against government, justice procedures and organisation of crime","Number","2403"
"Recorded crime incidents (Under Reservation)","2011Q4","Offences against government and its agents","Number","88"
"Recorded crime incidents (Under Reservation)","2011Q4","Organisation of crime and conspiracy to commit crime","Number","13"
"Recorded crime incidents (Under Reservation)","2011Q4","Perverting the course of justice","Number","23"
"Recorded crime incidents (Under Reservation)","2011Q4","Offences while in custody, breach of court orders","Number","2279"
"Recorded crime incidents (Under Reservation)","2012Q1","Homicide offences","Number","22"
"Recorded crime incidents (Under Reservation)","2012Q1","Murder","Number","18"
"Recorded crime incidents (Under Reservation)","2012Q1","Manslaughter","Number","3"
"Recorded crime incidents (Under Reservation)","2012Q1","Infanticide","Number","0"
"Recorded crime incidents (Under Reservation)","2012Q1","Dangerous driving leading to death","Number","1"
"Recorded crime incidents (Under Reservation)","2012Q1","Sexual offences","Number","569"
"Recorded crime incidents (Under Reservation)","2012Q1","Rape of a male or female","Number","121"
"Recorded crime incidents (Under Reservation)","2012Q1","Defilement of a boy or girl less than 17 years old","Number","46"
"Recorded crime incidents (Under Reservation)","2012Q1","Sexual offence involving mentally impaired person","Number","12"
"Recorded crime incidents (Under Reservation)","2012Q1","Aggravated sexual assault","Number","2"
"Recorded crime incidents (Under Reservation)","2012Q1","Sexual assault (not aggravated)","Number","349"
"Recorded crime incidents (Under Reservation)","2012Q1","Other sexual offences","Number","39"
"Recorded crime incidents (Under Reservation)","2012Q1","Attempts/threats to murder, assaults, harassments and related offences","Number","4055"
"Recorded crime incidents (Under Reservation)","2012Q1","Murder-attempt","Number","6"
"Recorded crime incidents (Under Reservation)","2012Q1","Threat to kill or cause serious harm","Number","90"
"Recorded crime incidents (Under Reservation)","2012Q1","Harassment and related offences","Number","537"
"Recorded crime incidents (Under Reservation)","2012Q1","Assault causing harm, poisoning","Number","832"
"Recorded crime incidents (Under Reservation)","2012Q1","Other assault","Number","2590"
"Recorded crime incidents (Under Reservation)","2012Q1","Dangerous or negligent acts","Number","2296"
"Recorded crime incidents (Under Reservation)","2012Q1","Dangerous driving causing serious bodily harm","Number","2"
"Recorded crime incidents (Under Reservation)","2012Q1","Driving/in charge of a vehicle while over legal alcohol limit","Number","2072"
"Recorded crime incidents (Under Reservation)","2012Q1","Driving/in charge of a vehicle under the influence of drugs","Number","79"
"Recorded crime incidents (Under Reservation)","2012Q1","Endangerment with potential for serious harm/death","Number","18"
"Recorded crime incidents (Under Reservation)","2012Q1","Abandoning a child, child neglect and cruelty","Number","74"
"Recorded crime incidents (Under Reservation)","2012Q1","Unseaworthy/dangerous use of boat or ship","Number","0"
"Recorded crime incidents (Under Reservation)","2012Q1","False alarm/interference with aircraft or air transport facilities","Number","2"
"Recorded crime incidents (Under Reservation)","2012Q1","Endangering traffic offences","Number","49"
"Recorded crime incidents (Under Reservation)","2012Q1","Kidnapping and related offences","Number","22"
"Recorded crime incidents (Under Reservation)","2012Q1","False imprisonment","Number","11"
"Recorded crime incidents (Under Reservation)","2012Q1","Abduction of person under 16 years of age","Number","6"
"Recorded crime incidents (Under Reservation)","2012Q1","Human trafficking offences","Number","5"
"Recorded crime incidents (Under Reservation)","2012Q1","Robbery, extortion and hijacking offences","Number","786"
"Recorded crime incidents (Under Reservation)","2012Q1","Robbery of an establishment or institution","Number","339"
"Recorded crime incidents (Under Reservation)","2012Q1","Robbery of cash or goods in transit","Number","17"
"Recorded crime incidents (Under Reservation)","2012Q1","Robbery from the person","Number","400"
"Recorded crime incidents (Under Reservation)","2012Q1","Blackmail or extortion","Number","5"
"Recorded crime incidents (Under Reservation)","2012Q1","Carjacking, hijacking/unlawful seizure of aircraft/vessel","Number","25"
"Recorded crime incidents (Under Reservation)","2012Q1","Burglary and related offences","Number","8139"
"Recorded crime incidents (Under Reservation)","2012Q1","Aggravated burglary","Number","76"
"Recorded crime incidents (Under Reservation)","2012Q1","Burglary (not aggravated)","Number","7894"
"Recorded crime incidents (Under Reservation)","2012Q1","Possession of an article (with intent to burgle, steal, demand)","Number","169"
"Recorded crime incidents (Under Reservation)","2012Q1","Theft and related offences","Number","18841"
"Recorded crime incidents (Under Reservation)","2012Q1","Theft/taking of vehicle and related offences","Number","2271"
"Recorded crime incidents (Under Reservation)","2012Q1","Theft from person","Number","1059"
"Recorded crime incidents (Under Reservation)","2012Q1","Theft from shop","Number","4629"
"Recorded crime incidents (Under Reservation)","2012Q1","Other thefts, handling stolen property","Number","10882"
"Recorded crime incidents (Under Reservation)","2012Q1","Fraud, deception and related offences","Number","1706"
"Recorded crime incidents (Under Reservation)","2012Q1","Controlled drug offences","Number","4264"
"Recorded crime incidents (Under Reservation)","2012Q1","Importation of drugs","Number","8"
"Recorded crime incidents (Under Reservation)","2012Q1","Cultivation or manufacture of drugs","Number","106"
"Recorded crime incidents (Under Reservation)","2012Q1","Possession of drugs for sale or supply","Number","987"
"Recorded crime incidents (Under Reservation)","2012Q1","Possession of drugs for personal use","Number","3017"
"Recorded crime incidents (Under Reservation)","2012Q1","Other drug offences","Number","146"
"Recorded crime incidents (Under Reservation)","2012Q1","Weapons and Explosives Offences","Number","751"
"Recorded crime incidents (Under Reservation)","2012Q1","Explosives, chemical weapons offences","Number","16"
"Recorded crime incidents (Under Reservation)","2012Q1","Discharging a firearm","Number","37"
"Recorded crime incidents (Under Reservation)","2012Q1","Possession of a firearm","Number","66"
"Recorded crime incidents (Under Reservation)","2012Q1","Offensive weapons offences (n.e.c.)","Number","624"
"Recorded crime incidents (Under Reservation)","2012Q1","Fireworks offences","Number","8"
"Recorded crime incidents (Under Reservation)","2012Q1","Damage to property and to the environment","Number","8605"
"Recorded crime incidents (Under Reservation)","2012Q1","Arson","Number","501"
"Recorded crime incidents (Under Reservation)","2012Q1","Criminal damage (not arson)","Number","8025"
"Recorded crime incidents (Under Reservation)","2012Q1","Litter offences","Number","79"
"Recorded crime incidents (Under Reservation)","2012Q1","Public order and other social code offences","Number","11015"
"Recorded crime incidents (Under Reservation)","2012Q1","Disorderly conduct","Number","9401"
"Recorded crime incidents (Under Reservation)","2012Q1","Trespass offences","Number","837"
"Recorded crime incidents (Under Reservation)","2012Q1","Liquor licensing offences","Number","496"
"Recorded crime incidents (Under Reservation)","2012Q1","Prostitution offences","Number","40"
"Recorded crime incidents (Under Reservation)","2012Q1","Regulated betting/money, collection/trading offences","Number","60"
"Recorded crime incidents (Under Reservation)","2012Q1","Social code offences (n.e.c.)","Number","181"
"Recorded crime incidents (Under Reservation)","2012Q1","Offences against government, justice procedures and organisation of crime","Number","2687"
"Recorded crime incidents (Under Reservation)","2012Q1","Offences against government and its agents","Number","74"
"Recorded crime incidents (Under Reservation)","2012Q1","Organisation of crime and conspiracy to commit crime","Number","0"
"Recorded crime incidents (Under Reservation)","2012Q1","Perverting the course of justice","Number","36"
"Recorded crime incidents (Under Reservation)","2012Q1","Offences while in custody, breach of court orders","Number","2577"
"Recorded crime incidents (Under Reservation)","2012Q2","Homicide offences","Number","25"
"Recorded crime incidents (Under Reservation)","2012Q2","Murder","Number","10"
"Recorded crime incidents (Under Reservation)","2012Q2","Manslaughter","Number","1"
"Recorded crime incidents (Under Reservation)","2012Q2","Infanticide","Number","0"
"Recorded crime incidents (Under Reservation)","2012Q2","Dangerous driving leading to death","Number","14"
"Recorded crime incidents (Under Reservation)","2012Q2","Sexual offences","Number","498"
"Recorded crime incidents (Under Reservation)","2012Q2","Rape of a male or female","Number","116"
"Recorded crime incidents (Under Reservation)","2012Q2","Defilement of a boy or girl less than 17 years old","Number","26"
"Recorded crime incidents (Under Reservation)","2012Q2","Sexual offence involving mentally impaired person","Number","10"
"Recorded crime incidents (Under Reservation)","2012Q2","Aggravated sexual assault","Number","3"
"Recorded crime incidents (Under Reservation)","2012Q2","Sexual assault (not aggravated)","Number","308"
"Recorded crime incidents (Under Reservation)","2012Q2","Other sexual offences","Number","35"
"Recorded crime incidents (Under Reservation)","2012Q2","Attempts/threats to murder, assaults, harassments and related offences","Number","3902"
"Recorded crime incidents (Under Reservation)","2012Q2","Murder-attempt","Number","1"
"Recorded crime incidents (Under Reservation)","2012Q2","Threat to kill or cause serious harm","Number","51"
"Recorded crime incidents (Under Reservation)","2012Q2","Harassment and related offences","Number","521"
"Recorded crime incidents (Under Reservation)","2012Q2","Assault causing harm, poisoning","Number","778"
"Recorded crime incidents (Under Reservation)","2012Q2","Other assault","Number","2551"
"Recorded crime incidents (Under Reservation)","2012Q2","Dangerous or negligent acts","Number","2283"
"Recorded crime incidents (Under Reservation)","2012Q2","Dangerous driving causing serious bodily harm","Number","2"
"Recorded crime incidents (Under Reservation)","2012Q2","Driving/in charge of a vehicle while over legal alcohol limit","Number","2078"
"Recorded crime incidents (Under Reservation)","2012Q2","Driving/in charge of a vehicle under the influence of drugs","Number","77"
"Recorded crime incidents (Under Reservation)","2012Q2","Endangerment with potential for serious harm/death","Number","18"
"Recorded crime incidents (Under Reservation)","2012Q2","Abandoning a child, child neglect and cruelty","Number","53"
"Recorded crime incidents (Under Reservation)","2012Q2","Unseaworthy/dangerous use of boat or ship","Number","1"
"Recorded crime incidents (Under Reservation)","2012Q2","False alarm/interference with aircraft or air transport facilities","Number","3"
"Recorded crime incidents (Under Reservation)","2012Q2","Endangering traffic offences","Number","51"
"Recorded crime incidents (Under Reservation)","2012Q2","Kidnapping and related offences","Number","29"
"Recorded crime incidents (Under Reservation)","2012Q2","False imprisonment","Number","19"
"Recorded crime incidents (Under Reservation)","2012Q2","Abduction of person under 16 years of age","Number","5"
"Recorded crime incidents (Under Reservation)","2012Q2","Human trafficking offences","Number","5"
"Recorded crime incidents (Under Reservation)","2012Q2","Robbery, extortion and hijacking offences","Number","650"
"Recorded crime incidents (Under Reservation)","2012Q2","Robbery of an establishment or institution","Number","230"
"Recorded crime incidents (Under Reservation)","2012Q2","Robbery of cash or goods in transit","Number","16"
"Recorded crime incidents (Under Reservation)","2012Q2","Robbery from the person","Number","374"
"Recorded crime incidents (Under Reservation)","2012Q2","Blackmail or extortion","Number","10"
"Recorded crime incidents (Under Reservation)","2012Q2","Carjacking, hijacking/unlawful seizure of aircraft/vessel","Number","20"
"Recorded crime incidents (Under Reservation)","2012Q2","Burglary and related offences","Number","6156"
"Recorded crime incidents (Under Reservation)","2012Q2","Aggravated burglary","Number","52"
"Recorded crime incidents (Under Reservation)","2012Q2","Burglary (not aggravated)","Number","5893"
"Recorded crime incidents (Under Reservation)","2012Q2","Possession of an article (with intent to burgle, steal, demand)","Number","211"
"Recorded crime incidents (Under Reservation)","2012Q2","Theft and related offences","Number","19107"
"Recorded crime incidents (Under Reservation)","2012Q2","Theft/taking of vehicle and related offences","Number","2057"
"Recorded crime incidents (Under Reservation)","2012Q2","Theft from person","Number","1162"
"Recorded crime incidents (Under Reservation)","2012Q2","Theft from shop","Number","4942"
"Recorded crime incidents (Under Reservation)","2012Q2","Other thefts, handling stolen property","Number","10946"
"Recorded crime incidents (Under Reservation)","2012Q2","Fraud, deception and related offences","Number","1345"
"Recorded crime incidents (Under Reservation)","2012Q2","Controlled drug offences","Number","4347"
"Recorded crime incidents (Under Reservation)","2012Q2","Importation of drugs","Number","12"
"Recorded crime incidents (Under Reservation)","2012Q2","Cultivation or manufacture of drugs","Number","139"
"Recorded crime incidents (Under Reservation)","2012Q2","Possession of drugs for sale or supply","Number","879"
"Recorded crime incidents (Under Reservation)","2012Q2","Possession of drugs for personal use","Number","3159"
"Recorded crime incidents (Under Reservation)","2012Q2","Other drug offences","Number","158"
"Recorded crime incidents (Under Reservation)","2012Q2","Weapons and Explosives Offences","Number","736"
"Recorded crime incidents (Under Reservation)","2012Q2","Explosives, chemical weapons offences","Number","28"
"Recorded crime incidents (Under Reservation)","2012Q2","Discharging a firearm","Number","37"
"Recorded crime incidents (Under Reservation)","2012Q2","Possession of a firearm","Number","53"
"Recorded crime incidents (Under Reservation)","2012Q2","Offensive weapons offences (n.e.c.)","Number","610"
"Recorded crime incidents (Under Reservation)","2012Q2","Fireworks offences","Number","8"
"Recorded crime incidents (Under Reservation)","2012Q2","Damage to property and to the environment","Number","7843"
"Recorded crime incidents (Under Reservation)","2012Q2","Arson","Number","563"
"Recorded crime incidents (Under Reservation)","2012Q2","Criminal damage (not arson)","Number","7200"
"Recorded crime incidents (Under Reservation)","2012Q2","Litter offences","Number","80"
"Recorded crime incidents (Under Reservation)","2012Q2","Public order and other social code offences","Number","11012"
"Recorded crime incidents (Under Reservation)","2012Q2","Disorderly conduct","Number","9312"
"Recorded crime incidents (Under Reservation)","2012Q2","Trespass offences","Number","929"
"Recorded crime incidents (Under Reservation)","2012Q2","Liquor licensing offences","Number","483"
"Recorded crime incidents (Under Reservation)","2012Q2","Prostitution offences","Number","42"
"Recorded crime incidents (Under Reservation)","2012Q2","Regulated betting/money, collection/trading offences","Number","78"
"Recorded crime incidents (Under Reservation)","2012Q2","Social code offences (n.e.c.)","Number","168"
"Recorded crime incidents (Under Reservation)","2012Q2","Offences against government, justice procedures and organisation of crime","Number","2417"
"Recorded crime incidents (Under Reservation)","2012Q2","Offences against government and its agents","Number","55"
"Recorded crime incidents (Under Reservation)","2012Q2","Organisation of crime and conspiracy to commit crime","Number","4"
"Recorded crime incidents (Under Reservation)","2012Q2","Perverting the course of justice","Number","15"
"Recorded crime incidents (Under Reservation)","2012Q2","Offences while in custody, breach of court orders","Number","2343"
"Recorded crime incidents (Under Reservation)","2012Q3","Homicide offences","Number","26"
"Recorded crime incidents (Under Reservation)","2012Q3","Murder","Number","14"
"Recorded crime incidents (Under Reservation)","2012Q3","Manslaughter","Number","2"
"Recorded crime incidents (Under Reservation)","2012Q3","Infanticide","Number","0"
"Recorded crime incidents (Under Reservation)","2012Q3","Dangerous driving leading to death","Number","10"
"Recorded crime incidents (Under Reservation)","2012Q3","Sexual offences","Number","464"
"Recorded crime incidents (Under Reservation)","2012Q3","Rape of a male or female","Number","110"
"Recorded crime incidents (Under Reservation)","2012Q3","Defilement of a boy or girl less than 17 years old","Number","25"
"Recorded crime incidents (Under Reservation)","2012Q3","Sexual offence involving mentally impaired person","Number","1"
"Recorded crime incidents (Under Reservation)","2012Q3","Aggravated sexual assault","Number","2"
"Recorded crime incidents (Under Reservation)","2012Q3","Sexual assault (not aggravated)","Number","286"
"Recorded crime incidents (Under Reservation)","2012Q3","Other sexual offences","Number","40"
"Recorded crime incidents (Under Reservation)","2012Q3","Attempts/threats to murder, assaults, harassments and related offences","Number","3986"
"Recorded crime incidents (Under Reservation)","2012Q3","Murder-attempt","Number","2"
"Recorded crime incidents (Under Reservation)","2012Q3","Threat to kill or cause serious harm","Number","67"
"Recorded crime incidents (Under Reservation)","2012Q3","Harassment and related offences","Number","444"
"Recorded crime incidents (Under Reservation)","2012Q3","Assault causing harm, poisoning","Number","853"
"Recorded crime incidents (Under Reservation)","2012Q3","Other assault","Number","2620"
"Recorded crime incidents (Under Reservation)","2012Q3","Dangerous or negligent acts","Number","2144"
"Recorded crime incidents (Under Reservation)","2012Q3","Dangerous driving causing serious bodily harm","Number","2"
"Recorded crime incidents (Under Reservation)","2012Q3","Driving/in charge of a vehicle while over legal alcohol limit","Number","1960"
"Recorded crime incidents (Under Reservation)","2012Q3","Driving/in charge of a vehicle under the influence of drugs","Number","59"
"Recorded crime incidents (Under Reservation)","2012Q3","Endangerment with potential for serious harm/death","Number","13"
"Recorded crime incidents (Under Reservation)","2012Q3","Abandoning a child, child neglect and cruelty","Number","59"
"Recorded crime incidents (Under Reservation)","2012Q3","Unseaworthy/dangerous use of boat or ship","Number","2"
"Recorded crime incidents (Under Reservation)","2012Q3","False alarm/interference with aircraft or air transport facilities","Number","3"
"Recorded crime incidents (Under Reservation)","2012Q3","Endangering traffic offences","Number","46"
"Recorded crime incidents (Under Reservation)","2012Q3","Kidnapping and related offences","Number","21"
"Recorded crime incidents (Under Reservation)","2012Q3","False imprisonment","Number","16"
"Recorded crime incidents (Under Reservation)","2012Q3","Abduction of person under 16 years of age","Number","3"
"Recorded crime incidents (Under Reservation)","2012Q3","Human trafficking offences","Number","2"
"Recorded crime incidents (Under Reservation)","2012Q3","Robbery, extortion and hijacking offences","Number","658"
"Recorded crime incidents (Under Reservation)","2012Q3","Robbery of an establishment or institution","Number","210"
"Recorded crime incidents (Under Reservation)","2012Q3","Robbery of cash or goods in transit","Number","5"
"Recorded crime incidents (Under Reservation)","2012Q3","Robbery from the person","Number","414"
"Recorded crime incidents (Under Reservation)","2012Q3","Blackmail or extortion","Number","6"
"Recorded crime incidents (Under Reservation)","2012Q3","Carjacking, hijacking/unlawful seizure of aircraft/vessel","Number","23"
"Recorded crime incidents (Under Reservation)","2012Q3","Burglary and related offences","Number","6827"
"Recorded crime incidents (Under Reservation)","2012Q3","Aggravated burglary","Number","81"
"Recorded crime incidents (Under Reservation)","2012Q3","Burglary (not aggravated)","Number","6589"
"Recorded crime incidents (Under Reservation)","2012Q3","Possession of an article (with intent to burgle, steal, demand)","Number","157"
"Recorded crime incidents (Under Reservation)","2012Q3","Theft and related offences","Number","19122"
"Recorded crime incidents (Under Reservation)","2012Q3","Theft/taking of vehicle and related offences","Number","2148"
"Recorded crime incidents (Under Reservation)","2012Q3","Theft from person","Number","1316"
"Recorded crime incidents (Under Reservation)","2012Q3","Theft from shop","Number","4858"
"Recorded crime incidents (Under Reservation)","2012Q3","Other thefts, handling stolen property","Number","10800"
"Recorded crime incidents (Under Reservation)","2012Q3","Fraud, deception and related offences","Number","1400"
"Recorded crime incidents (Under Reservation)","2012Q3","Controlled drug offences","Number","4046"
"Recorded crime incidents (Under Reservation)","2012Q3","Importation of drugs","Number","6"
"Recorded crime incidents (Under Reservation)","2012Q3","Cultivation or manufacture of drugs","Number","145"
"Recorded crime incidents (Under Reservation)","2012Q3","Possession of drugs for sale or supply","Number","784"
"Recorded crime incidents (Under Reservation)","2012Q3","Possession of drugs for personal use","Number","2958"
"Recorded crime incidents (Under Reservation)","2012Q3","Other drug offences","Number","153"
"Recorded crime incidents (Under Reservation)","2012Q3","Weapons and Explosives Offences","Number","690"
"Recorded crime incidents (Under Reservation)","2012Q3","Explosives, chemical weapons offences","Number","18"
"Recorded crime incidents (Under Reservation)","2012Q3","Discharging a firearm","Number","30"
"Recorded crime incidents (Under Reservation)","2012Q3","Possession of a firearm","Number","65"
"Recorded crime incidents (Under Reservation)","2012Q3","Offensive weapons offences (n.e.c.)","Number","534"
"Recorded crime incidents (Under Reservation)","2012Q3","Fireworks offences","Number","43"
"Recorded crime incidents (Under Reservation)","2012Q3","Damage to property and to the environment","Number","7815"
"Recorded crime incidents (Under Reservation)","2012Q3","Arson","Number","535"
"Recorded crime incidents (Under Reservation)","2012Q3","Criminal damage (not arson)","Number","7201"
"Recorded crime incidents (Under Reservation)","2012Q3","Litter offences","Number","79"
"Recorded crime incidents (Under Reservation)","2012Q3","Public order and other social code offences","Number","11419"
"Recorded crime incidents (Under Reservation)","2012Q3","Disorderly conduct","Number","9779"
"Recorded crime incidents (Under Reservation)","2012Q3","Trespass offences","Number","870"
"Recorded crime incidents (Under Reservation)","2012Q3","Liquor licensing offences","Number","496"
"Recorded crime incidents (Under Reservation)","2012Q3","Prostitution offences","Number","30"
"Recorded crime incidents (Under Reservation)","2012Q3","Regulated betting/money, collection/trading offences","Number","77"
"Recorded crime incidents (Under Reservation)","2012Q3","Social code offences (n.e.c.)","Number","167"
"Recorded crime incidents (Under Reservation)","2012Q3","Offences against government, justice procedures and organisation of crime","Number","2187"
"Recorded crime incidents (Under Reservation)","2012Q3","Offences against government and its agents","Number","55"
"Recorded crime incidents (Under Reservation)","2012Q3","Organisation of crime and conspiracy to commit crime","Number","2"
"Recorded crime incidents (Under Reservation)","2012Q3","Perverting the course of justice","Number","33"
"Recorded crime incidents (Under Reservation)","2012Q3","Offences while in custody, breach of court orders","Number","2097"
"Recorded crime incidents (Under Reservation)","2012Q4","Homicide offences","Number","15"
"Recorded crime incidents (Under Reservation)","2012Q4","Murder","Number","9"
"Recorded crime incidents (Under Reservation)","2012Q4","Manslaughter","Number","2"
"Recorded crime incidents (Under Reservation)","2012Q4","Infanticide","Number","0"
"Recorded crime incidents (Under Reservation)","2012Q4","Dangerous driving leading to death","Number","4"
"Recorded crime incidents (Under Reservation)","2012Q4","Sexual offences","Number","445"
"Recorded crime incidents (Under Reservation)","2012Q4","Rape of a male or female","Number","109"
"Recorded crime incidents (Under Reservation)","2012Q4","Defilement of a boy or girl less than 17 years old","Number","32"
"Recorded crime incidents (Under Reservation)","2012Q4","Sexual offence involving mentally impaired person","Number","1"
"Recorded crime incidents (Under Reservation)","2012Q4","Aggravated sexual assault","Number","0"
"Recorded crime incidents (Under Reservation)","2012Q4","Sexual assault (not aggravated)","Number","276"
"Recorded crime incidents (Under Reservation)","2012Q4","Other sexual offences","Number","27"
"Recorded crime incidents (Under Reservation)","2012Q4","Attempts/threats to murder, assaults, harassments and related offences","Number","3764"
"Recorded crime incidents (Under Reservation)","2012Q4","Murder-attempt","Number","0"
"Recorded crime incidents (Under Reservation)","2012Q4","Threat to kill or cause serious harm","Number","60"
"Recorded crime incidents (Under Reservation)","2012Q4","Harassment and related offences","Number","419"
"Recorded crime incidents (Under Reservation)","2012Q4","Assault causing harm, poisoning","Number","750"
"Recorded crime incidents (Under Reservation)","2012Q4","Other assault","Number","2535"
"Recorded crime incidents (Under Reservation)","2012Q4","Dangerous or negligent acts","Number","2120"
"Recorded crime incidents (Under Reservation)","2012Q4","Dangerous driving causing serious bodily harm","Number","1"
"Recorded crime incidents (Under Reservation)","2012Q4","Driving/in charge of a vehicle while over legal alcohol limit","Number","1934"
"Recorded crime incidents (Under Reservation)","2012Q4","Driving/in charge of a vehicle under the influence of drugs","Number","61"
"Recorded crime incidents (Under Reservation)","2012Q4","Endangerment with potential for serious harm/death","Number","19"
"Recorded crime incidents (Under Reservation)","2012Q4","Abandoning a child, child neglect and cruelty","Number","43"
"Recorded crime incidents (Under Reservation)","2012Q4","Unseaworthy/dangerous use of boat or ship","Number","1"
"Recorded crime incidents (Under Reservation)","2012Q4","False alarm/interference with aircraft or air transport facilities","Number","0"
"Recorded crime incidents (Under Reservation)","2012Q4","Endangering traffic offences","Number","61"
"Recorded crime incidents (Under Reservation)","2012Q4","Kidnapping and related offences","Number","25"
"Recorded crime incidents (Under Reservation)","2012Q4","False imprisonment","Number","19"
"Recorded crime incidents (Under Reservation)","2012Q4","Abduction of person under 16 years of age","Number","2"
"Recorded crime incidents (Under Reservation)","2012Q4","Human trafficking offences","Number","4"
"Recorded crime incidents (Under Reservation)","2012Q4","Robbery, extortion and hijacking offences","Number","718"
"Recorded crime incidents (Under Reservation)","2012Q4","Robbery of an establishment or institution","Number","235"
"Recorded crime incidents (Under Reservation)","2012Q4","Robbery of cash or goods in transit","Number","11"
"Recorded crime incidents (Under Reservation)","2012Q4","Robbery from the person","Number","426"
"Recorded crime incidents (Under Reservation)","2012Q4","Blackmail or extortion","Number","17"
"Recorded crime incidents (Under Reservation)","2012Q4","Carjacking, hijacking/unlawful seizure of aircraft/vessel","Number","29"
"Recorded crime incidents (Under Reservation)","2012Q4","Burglary and related offences","Number","7344"
"Recorded crime incidents (Under Reservation)","2012Q4","Aggravated burglary","Number","73"
"Recorded crime incidents (Under Reservation)","2012Q4","Burglary (not aggravated)","Number","7060"
"Recorded crime incidents (Under Reservation)","2012Q4","Possession of an article (with intent to burgle, steal, demand)","Number","211"
"Recorded crime incidents (Under Reservation)","2012Q4","Theft and related offences","Number","19047"
"Recorded crime incidents (Under Reservation)","2012Q4","Theft/taking of vehicle and related offences","Number","2004"
"Recorded crime incidents (Under Reservation)","2012Q4","Theft from person","Number","1476"
"Recorded crime incidents (Under Reservation)","2012Q4","Theft from shop","Number","5122"
